0
ï»¿0
"Ã¯Â»Â¿Player,Conference,Receiving School,Transferring School,Position"
"Leon Johnson III,Big 12,Oklahoma State,George Fox,WR"
"Josiah Johnson,Big 12,Oklahoma State,UMass,TE"
"Ian Edenfield,Big 12,Oklahoma State,California University of Pennsylvania,TE"
"Dalton Cooper,Big 12,Oklahoma State,Texas State,OL"
"Noah McKinney,Big 12,Oklahoma State,UNLV,OL"
"Anthony Goodlow,Big 12,Oklahoma State,Tulsa,DL"
"Justin Kirkland,Big 12,Oklahoma State,Utah Tech,DL"
"Justin Wright,Big 12,Oklahoma State,Tulsa,LB"
"Kenneth Harris,Big 12,Oklahoma State,Arkansas State,CB"
"Trey Sanders,Big 12,TCU,Alabama,RB"
"JoJo Earle,Big 12,TCU,Alabama,WR"
"John Paul Richardson,Big 12,TCU,Oklahoma State,WR"
"Jack Bech,Big 12,TCU,LSU,WR"
"Warren Thompson,Big 12,TCU,Arkansas,WR"
"Dylan Wright,Big 12,TCU,Minnesota,WR"
"Jaylon Robinson,Big 12,TCU,Ole Miss,WR"
"Willis Patrick,Big 12,TCU,Jackson State,OL"
"Coltin Deery,Big 12,TCU,Maryland,OL"
"Tommy Brockermeyer,Big 12,TCU,Alabama,OL"
"Tico Brown,Big 12,TCU,Missouri State,DL"
"Rick D'Abreu,Big 12,TCU,East Carolina,DL"
"Avery Helm,Big 12,TCU,Florida,CB"
"AD Mitchell,Big 12,Texas,Georgia,WR"
"Trill Carter,Big 12,Texas,Minnesota,DL"
"Gavin Holmes,Big 12,Texas,Wake Forest,DB"
"Jalen Catalon,Big 12,Texas,Arkansas,S"
"Ryan Sanborn,Big 12,Texas,Stanford,P"
"Drae McCray,Big 12,Texas Tech,Austin Peay,WR"
"Rusty Staats,Big 12,Texas Tech,Western Kentucky,OL"
"Quincy Ledet,Big 12,Texas Tech,ULM,DL"
"Steve Linton,Big 12,Texas Tech,Syracuse,DL/LB"
"Terrell Tilmon,Big 12,Texas Tech,Oregon,LB/TE"
"Bralyn Lux,Big 12,Texas Tech,Fresno State,DB"
"AJ McCarty,Big 12,Texas Tech,Baylor,DB"
"C.J. Baskerville,Big 12,Texas Tech,San Diego State,S"
"Reese Burkhardt,Big 12,Texas Tech,UAB,K"
"Luke Hamilton,Big 12,WestÃ‚Â Virginia,Towson,FB/TE"
"Ja'Shaun Poke,Big 12,WestÃ‚Â Virginia,Kent State,WR"
"Devin Carter,Big 12,WestÃ‚Â Virginia,NC State,WR"
"Noah Massey,Big 12,WestÃ‚Â Virginia,Angelo State,WR"
"E.J. Horton,Big 12,WestÃ‚Â Virginia,Marshall,WR"
"Kole Taylor,Big 12,WestÃ‚Â Virginia,LSU,TE"
"Chase Rodriguez,Big 12,WestÃ‚Â Virginia,ULM,OL"
"Davoan Hawkins,Big 12,WestÃ‚Â Virginia,Tennessee State,DL"
"Fatorma Mulbah,Big 12,WestÃ‚Â Virginia,Penn State,DL"
"Tomiwa Durojaiye,Big 12,WestÃ‚Â Virginia,Kentucky,DL"
"Tyrin Bradley,Big 12,WestÃ‚Â Virginia,Abilene Christian,DL"
"Montre Miller,Big 12,WestÃ‚Â Virginia,Kent State,DB"
"Anthony Wilson,Big 12,WestÃ‚Â Virginia,Georgia Southern,DB"
"Beanie Bishop,Big 12,WestÃ‚Â Virginia,Minnesota,DB"
"Keyshawn Cobb,Big 12,WestÃ‚Â Virginia,Buffalo,DB"
"Michael Hayes,Big 12,WestÃ‚Â Virginia,Georgia State,K"
"Luke Altmyer,Big Ten,Illinois,Ole Miss,QB"
"John Paddock,Big Ten,Illinois,Ball State,QB"
"Tanner Arkin,Big Ten,Illinois,Colorado State,TE"
"Denzel Daxon,Big Ten,Illinois,Ohio,DL"
"Nicario Harper,Big Ten,Illinois,Louisville,DB"
"Demetrius Hill,Big Ten,Illinois,FIU,DB"
"Clayton Bush,Big Ten,Illinois,Southern Illinois,DB"
"Tayven Jackson,Big Ten,Indiana,Tennessee,QB"
"Christian Turner,Big Ten,Indiana,Wake Forest,RB"
"Sampson James,Big Ten,Indiana,Purdue,RB"
"E.J. Williams,Big Ten,Indiana,Clemson,WR"
"Dequece Carter,Big Ten,Indiana,Fordham,WR"
"Bradley Archer,Big Ten,Indiana,Stanford,TE"
"Max Longman,Big Ten,Indiana,UMass,OL"
"Drew Evans,Big Ten,Indiana,Wisconsin,OL"
"Noah Bolticoff,Big Ten,Indiana,TCU,OL"
"Andre Carter,Big Ten,Indiana,Western Michigan,DL"
"Lanell Carr,Big Ten,Indiana,West Virginia,DL"
"Phillip Blidi,Big Ten,Indiana,Texas Tech,DL"
"Robby Harrison,Big Ten,Indiana,Arizona State,DL"
"Carl Biddings,Big Ten,Indiana,Louisville,DL"
"Marcus Burris,Big Ten,Indiana,Texas A&M,DL"
"Jacob Mangum-Farrar,Big Ten,Indiana,Stanford,LB"
"Darryl Minor,Big Ten,Indiana,UTEP,LB"
"Anthony Jones,Big Ten,Indiana,Oregon,LB"
"Josh Rudolph,Big Ten,Indiana,Austin Peay,LB"
"Trey Laing,Big Ten,Indiana,Southern,LB"
"Jamier Johnson,Big Ten,Indiana,Texas,DB"
"Kobee Minor,Big Ten,Indiana,Texas Tech,DB"
"Nicolas Toomer,Big Ten,Indiana,Stanford,DB"
"Jaxon Miller,Big Ten,Indiana,Army,LS"
"Cade McNamara,Big Ten,Iowa,Michigan,QB"
"Deacon Hill,Big Ten,Iowa,Wisconsin,QB"
"Seth Anderson,Big Ten,Iowa,Charleston Southern,WR"
"Kaleb Brown,Big Ten,WR Austin Kutscher (fromÃ‚Â Ohio State),Ohio State,WR"
"Erick All,Big Ten,WR Austin Kutscher (fromÃ‚Â Ohio State),Michigan,TE"
"Daijon Parker,Big Ten,WR Austin Kutscher (fromÃ‚Â Ohio State),Saginaw Valley State,OL"
"Rusty Feth,Big Ten,WR Austin Kutscher (fromÃ‚Â Ohio State),""Miami, Ohio"",OL"
"Nick Jackson,Big Ten,WR Austin Kutscher (fromÃ‚Â Ohio State),Virginia,LB"
"Tanner Pollock,Big Ten,WR Austin Kutscher (fromÃ‚Â Ohio State),Drake,LB"
"Tyrese Chambers,Big Ten,Maryland,FIU,WR"
"Kaden Prather,Big Ten,Maryland,West Virginia,WR"
"Marcus Dumervil,Big Ten,Maryland,LSU,OL"
"Mike Purcell,Big Ten,Maryland,Duke,OL"
"Gottlieb Ayedeze,Big Ten,Maryland,Frostburg State,OL"
"Corey Bullock,Big Ten,Maryland,North Carolina Central,OL"
"Donnell Brown,Big Ten,Maryland,St. Francis Pa.,DL"
"Tre'Darius Colbert,Big Ten,Maryland,Angelo State,DL"
"Jordan Phillips,Big Ten,Maryland,Tennessee,DL"
"Ja'Quan Sheppard,Big Ten,Maryland,Cincinnati,CB"
"Avantae Williams,Big Ten,Maryland,Miami,S"
"Jack Tuttle,Big Ten,Michigan,Indiana,QB"
"A.J. Barner,Big Ten,Michigan,Indiana,TE"
"LaDarius Henderson,Big Ten,Michigan,Arizona State,OL"
"Drake Nugent,Big Ten,Michigan,Stanford,OL"
"Myles Hinton,Big Ten,Michigan,Stanford,OL"
"Josaiah Stewart,Big Ten,Michigan,Coastal Carolina,DL"
"Ernest Hausmann,Big Ten,Michigan,Nebraska,LB"
"Josh Wallace,Big Ten,Michigan,UMass,CB"
"James Turner,Big Ten,Michigan,Louisville,K"
"Hudson Hollenbeck,Big Ten,Michigan,Mississippi State,K/P"
"Nathan Carter,Big Ten,Michigan State,UConn,RB"
"Jaren Mangham,Big Ten,Michigan State,USF,RB"
"Alante Brown,Big Ten,Michigan State,Nebraska,WR"
"Ademola Faleye,Big Ten,Michigan State,Norfolk State,TE"
"Jaylan Franklin,Big Ten,Michigan State,Wisconsin,TE"
"Tyneil Hopper,Big Ten,Michigan State,Boise State,TE"
"Tunmise Adeleye,Big Ten,Michigan State,Texas A&M,DL"
"Ken Talley,Big Ten,Michigan State,Penn State,DL"
"Dre Butler,Big Ten,Michigan State,Liberty,DL"
"Jalen Sami,Big Ten,Michigan State,Colorado,DL"
"Jarrett Jackson,Big Ten,Michigan State,Florida State,DL"
"Aaron Alexander,Big Ten,Michigan State,UMass,LB"
"Semar Melvin,Big Ten,Michigan State,Wisconsin,DB"
"Terry Roberts,Big Ten,Michigan State,Iowa/Miami,DB"
"Armorion Smith,Big Ten,Michigan State,Cincinnati,DB"
"Jonathan Kim,Big Ten,Michigan State,North Carolina,K"
"Michael O'Shaughnessy,Big Ten,Michigan State,Ohio State,P"
"Mason Arnold,Big Ten,Michigan State,Ohio State,LS"
"Sean Tyler,Big Ten,Minnesota,Western Michigan,RB"
"Corey Crooms,Big Ten,Minnesota,Western Michigan,WR"
